ENTITY_NAME,TICKER,INDUSTRY,SECTOR,PRIMARY_INDUSTRY,MARKETCAP,TEV,TOTAL_REV_LTM,TOTAL_REV_FY2024,TOTAL_REV_FY2023,TOTAL_REV_FY2022,TOTAL_REV_FY2021,EBITDA_LTM,EBITDA_FY2024,EBITDA_FY2023,EBITDA_FY2022,EBITDA_FY2021,EBIT_LTM,EBIT_FY2024,EBIT_FY2023,EBIT_FY2022,EBIT_FY2021,INTEREST_EXPENSE_LTM,INTEREST_EXPENSE_FY2024,INTEREST_EXPENSE_FY2023,INTEREST_EXPENSE_FY2022,INTEREST_EXPENSE_FY2021,NET_INCOME_LTM,NET_INCOME_FY2024,NET_INCOME_FY2023,NET_INCOME_FY2022,NET_INCOME_FY2021,CASH_EQUIV_LTM,CASH_EQUIV_FY2024,CASH_EQUIV_FY2023,CASH_EQUIV_FY2022,CASH_EQUIV_FY2021,TOTAL_ASSETS_LTM,TOTAL_ASSETS_FY2024,TOTAL_ASSETS_FY2023,TOTAL_ASSETS_FY2022,TOTAL_ASSETS_FY2021,TOTAL_DEBT_LTM,TOTAL_DEBT_FY2024,TOTAL_DEBT_FY2023,TOTAL_DEBT_FY2022,TOTAL_DEBT_FY2021,TOTAL_EQUITY_LTM,TOTAL_EQUITY_FY2024,TOTAL_EQUITY_FY2023,TOTAL_EQUITY_FY2022,TOTAL_EQUITY_FY2021,TOTAL_REV_1YR_ANN_GROWTH_LTM,TOTAL_REV_1YR_ANN_GROWTH_FY2024,TOTAL_REV_1YR_ANN_GROWTH_FY2023,TOTAL_REV_1YR_ANN_GROWTH_FY2022,TOTAL_REV_1YR_ANN_GROWTH_FY2021,GROSS_MARGIN_LTM,GROSS_MARGIN_FY2024,GROSS_MARGIN_FY2023,GROSS_MARGIN_FY2022,GROSS_MARGIN_FY2021,EBITDA_MARGIN_LTM,EBITDA_MARGIN_FY2024,EBITDA_MARGIN_FY2023,EBITDA_MARGIN_FY2022,EBITDA_MARGIN_FY2021,EBIT_MARGIN_LTM,EBIT_MARGIN_FY2024,EBIT_MARGIN_FY2023,EBIT_MARGIN_FY2022,EBIT_MARGIN_FY2021,NET_MARGIN_LTM,NET_MARGIN_FY2024,NET_MARGIN_FY2023,NET_MARGIN_FY2022,NET_MARGIN_FY2021,DEBT_TO_EQUITY_LTM,DEBT_TO_EQUITY_FY2024,DEBT_TO_EQUITY_FY2023,DEBT_TO_EQUITY_FY2022,DEBT_TO_EQUITY_FY2021,DEBT_TO_EBITDA_LTM,DEBT_TO_EBITDA_FY2024,DEBT_TO_EBITDA_FY2023,DEBT_TO_EBITDA_FY2022,DEBT_TO_EBITDA_FY2021,ROA_LTM,ROA_FY2024,ROA_FY2023,ROA_FY2022,ROA_FY2021,ROC_LTM,ROC_FY2024,ROC_FY2023,ROC_FY2022,ROC_FY2021,ROE_LTM,ROE_FY2024,ROE_FY2023,ROE_FY2022,ROE_FY2021,LFCF_MARGIN_LTM,LFCF_MARGIN_FY2024,LFCF_MARGIN_FY2023,LFCF_MARGIN_FY2022,LFCF_MARGIN_FY2021,UFCF_MARGIN_LTM,UFCF_MARGIN_FY2024,UFCF_MARGIN_FY2023,UFCF_MARGIN_FY2022,UFCF_MARGIN_FY2021,CURRENT_RATIO_LTM,CURRENT_RATIO_FY2024,CURRENT_RATIO_FY2023,CURRENT_RATIO_FY2022,CURRENT_RATIO_FY2021,UNLEVERED_FCF_LTM,UNLEVERED_FCF_FY2024,UNLEVERED_FCF_FY2023,UNLEVERED_FCF_FY2022,UNLEVERED_FCF_FY2021,LEVERED_FCF_LTM,LEVERED_FCF_FY2024,LEVERED_FCF_FY2023,LEVERED_FCF_FY2022,LEVERED_FCF_FY2021,EV/REVENUE_LTM,EV/EBITDA_LTM,EV/EBIT_LTM,EV/UFCF_LTM,EV/REVENUE_FY2024,EV/EBITDA_FY2024,EV/EBIT_FY2024,EV/UFCF_FY2024,EV/REVENUE_FY2023,EV/EBITDA_FY2023,EV/EBIT_FY2023,EV/UFCF_FY2023,EV/REVENUE_FY2022,EV/EBITDA_FY2022,EV/EBIT_FY2022,EV/UFCF_FY2022,EV/REVENUE_FY2021,EV/EBITDA_FY2021,EV/EBIT_FY2021,EV/UFCF_FY2021,PE_LTM,PE_FY2024,PE_FY2023,PE_FY2022,PE_FY2021,PBV_LTM,PBV_FY2024,PBV_FY2023,PBV_FY2022,PBV_FY2021,EV/REVENUE_FWD_2025,EV/REVENUE_FWD_2026,EV/REVENUE_FWD_2027,EV/EBITDA_FWD_2025,EV/EBITDA_FWD_2026,EV/EBITDA_FWD_2027,EV/EBIT_FWD_2025,EV/EBIT_FWD_2026,EV/EBIT_FWD_2027,PE_FWD_2025,PE_FWD_2026,PE_FWD_2027,PBV_FWD_2025,PBV_FWD_2026,PBV_FWD_2027,PRICE_CLOSE_2025,PRICE_CLOSE_2024,PRICE_CLOSE_2023,PRICE_CLOSE_2022,PRICE_CLOSE_2021,FLOAT_SHARES_PERCENT,SHARES_OUT_2025,SHARES_OUT_2024,SHARES_OUT_2023,SHARES_OUT_2022,SHARES_OUT_2021,BETA_3YR_COUNTRY,BETA_3YR_INDUSTRY,BETA_RSQUARED_3YR_COUNTRY,BETA_RSQUARED_3YR_INDUSTRY,COMMON_DIV_DECLARED_LTM,COMMON_DIV_DECLARED_FY2024,COMMON_DIV_DECLARED_FY2023,COMMON_DIV_DECLARED_FY2022,COMMON_DIV_DECLARED_FY2021,PAYOUT_RATIO_LTM,PAYOUT_RATIO_FY2024,PAYOUT_RATIO_FY2023,PAYOUT_RATIO_FY2022,PAYOUT_RATIO_FY2021
"Inter & Co, Inc. (NASDAQGS:INTR)",INTR,Banks,Financials,Diversified Banks,"21,200.19",NA,"7,361,510","6,397,685","4,720,536","3,545,313","2,213,059",NA,NA,NA,NA,NA,"5,755,011","4,517,188","3,327,414","1,794,277","312,180","4,379,727","3,311,638","2,887,573","1,972,850","543,242","1,193,910","972,841","352,260","-14,079","-55,068","15,966,782","12,588,756","10,642,300","8,445,282","4,951,795","84,732,919","76,458,430","60,351,799","46,343,100","36,626,337","12,076,089","10,132,833","8,322,849","6,385,318","3,734,249","9,387,832","9,072,307","7,596,691","7,089,104","8,449,784",38.56,43.28,29.5,52.47,79.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.08,19.72,9.42,-0.45,-4.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58,1.42,0.66,-0.03,-0.2,NA,NA,NA,NA,NA,13.27,11.67,4.8,-0.18,-0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.39,27.42,NM,NM,NA,2.33,1.11,1.75,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,11.1,8.8,2.1,1.9,1.6,48.18,26.38,27.75,10.46,NA,40.4,"440,040,918","438,983,974","401,790,620","401,159,541",NA,0.72,1.52,0.04,0.32,NA,NA,0.146,NA,NA,NA,22.31,NA,NA,NA
International Meal Company Alimentação S.A. (BOVESPA:MEAL3),MEAL3,"Hotels, Restaurants and Leisure",Consumer Discretionary,Restaurants,378.41,"1,165.30","2,186,261","2,224,984","2,226,345","2,091,689","1,743,471","105,193","137,111","145,397","134,654","89,699","-14,633","5,261","46,388","42,628","-2,502","128,517","117,869","144,344","118,960","81,112","-131,674","-76,278","-81,997","72,669","-80,449","297,723","217,796","229,159","285,255","461,280","2,479,058","2,796,869","2,740,000","2,954,544","2,951,198","1,084,579","1,267,281","1,179,970","1,300,505","1,350,065","937,277","1,041,298","1,022,851","1,130,789","1,126,686",6.63,-0.06,6.44,19.97,51.14,33.58,32.81,34.61,30.37,29.89,4.81,6.16,6.53,6.44,5.15,-0.67,0.24,2.08,2.04,-0.14,-6.02,-3.43,-3.68,3.47,-4.61,115.72,121.7,115.36,115.01,119.83,4.69,4.85,4.41,5.11,8.86,-0.35,0.12,1.02,0.9,-0.06,-0.43,0.15,1.25,1.09,-0.07,-14.46,-7.39,-7.92,4.89,-9.43,2.61,2.61,3.54,0.12,-2.39,5.92,5.92,7.59,3.68,0.52,0.78,0.78,0.92,0.93,1.34,"171,410","131,621","169,031","76,872","9,026","91,087","57,953","78,816","2,522","-41,669",0.54,4.54,87.81,6.87,0.53,4.04,33.16,8.95,0.53,4.04,33.16,8.95,0.89,4.04,33.16,8.95,0.53,4.04,33.16,8.95,NM,NM,7.82,NM,NM,0.4,0.27,0.5,0.69,0.59,0.5,0.46,0.42,3.37,2.92,2.58,10.82,8.54,7.05,NM,35.5,11.8,NA,NA,NA,1.32,0.97,1.97,2.73,2.43,83.51,"286,676,540","285,443,030","285,443,030","285,443,030","285,443,030",1.15,0.99,0.14,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NM
Investimentos Bemge S.A. (BOVESPA:FIGE3),FIGE3,Capital Markets,Financials,Asset Management and Custody Banks,35.46,35.5,"13,958","18,130","19,537","21,748","10,644",NA,NA,NA,NA,NA,"12,839","16,719","18,074","20,342","9,534",NA,NA,NA,NA,NA,"8,923","11,504","12,012","10,370","6,543",2,2,2,2,2,"183,120","177,415","163,470","150,924","238,205",0,0,0,0,0,"178,479","171,597","160,202","148,304","237,616",-22.29,-7.2,-10.17,104.32,72.37,100,100,100,100,100,NA,NA,NA,NA,NA,91.98,92.22,92.51,93.54,89.57,63.93,63.45,61.48,47.68,61.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56,6.13,7.19,6.53,2.54,4.67,6.3,7.32,6.59,2.54,5.19,6.93,7.79,5.37,2.79,71.48,71.48,74.91,85.46,NM,71.48,71.48,74.91,85.46,NM,0,0,0,41.59,35.93,"8,636","12,959","14,635","18,586","80,833","8,636","12,959","14,635","18,586","80,833",2.54,NA,2.76,4.11,1.96,NA,2.12,2.74,1.96,NA,2.12,2.74,3.55,NA,2.12,2.74,1.96,NA,2.12,2.74,3.97,1.97,4.22,5.78,29.88,0.2,0.15,0.29,0.16,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,10.01,18.5,16,43,NA,"2,363,936","2,363,936","2,363,936","2,363,936","2,363,936",0.05,0.26,0,0,NA,NA,0.045,0.039,NA,1.28,0.99,0.82,NA,0.49
Iochpe-Maxion S.A. (BOVESPA:MYPK3),MYPK3,Automobile Components,Consumer Discretionary,Automotive Parts and Equipment,"1,744.82","6,116.10","15,936,497","15,331,813","14,955,220","16,947,869","13,688,367","1,499,594","1,450,007","1,170,303","1,706,470","1,461,936","1,034,561","994,374","737,524","1,215,239","949,782","529,123","543,356","606,665",NA,"305,490","372,628","380,084","105,891","404,172","626,938","1,678,690","2,463,475","2,962,366","2,287,054","1,088,114","14,920,051","15,961,371","14,534,116","15,195,455","14,519,530","5,606,114","6,388,994","6,784,684","6,494,829","5,532,210","4,761,592","5,070,982","4,085,029","4,292,807","4,398,119",9.18,2.52,-11.76,23.81,56.25,12.17,11.88,10.09,10.67,12.45,9.41,9.46,7.83,10.07,10.68,6.49,6.49,4.93,7.17,6.94,1.73,1.73,0.21,1.65,3.93,117.74,125.99,166.09,151.3,125.79,3.63,4.3,5.65,3.81,3.68,4.28,4.08,3.1,5.11,4.41,6.08,5.57,4.26,7.33,6.3,8.01,8.3,2.53,9.3,15.29,3.69,3.69,2.25,5.77,-3.46,5.88,5.88,4.68,5.77,-2.2,1.72,1.72,1.63,1.65,1.33,"689,185","900,769","699,981","977,972","-301,309","361,193","566,308","336,981","977,972","-473,797",0.38,3.86,5.69,8.87,0.4,4.05,6.02,6.79,0.4,4.05,6.02,6.79,0.49,4.05,6.02,6.79,0.4,4.05,6.02,6.79,6.33,55.93,6.93,3.32,NM,0.4,0.46,0.49,0.44,0.7,0.38,0.36,0.34,3.67,3.32,3.14,5.48,4.88,4.56,7.1,4,3.1,0.4,0.4,0.3,11.65,11.41,12.75,11.72,15.99,76.14,"149,769,774","149,769,774","150,269,774","151,469,774","152,369,774",0.83,0.77,0.15,0.21,0.712,0.712,0.087,0.735,0.399,36.12,4.96,342.44,72.01,NA
Irani Papel e Embalagem S.A. (BOVESPA:RANI3),RANI3,Containers and Packaging,Materials,Paper and Plastic Packaging Products and Materials,"1,951.05","3,157.00","1,731,066","1,627,470","1,594,245","1,686,666","1,605,834","473,191","433,707","452,714","522,177","467,552","298,382","259,157","357,173","432,731","386,572","220,839","192,069","216,647","132,295","63,513","386,757","304,519","383,434","378,210","285,313","613,937","604,232","484,152","735,194","30,410","3,768,111","3,620,637","3,467,066","3,515,338","2,365,300","1,834,034","1,705,563","1,650,379","1,812,862","915,387","1,422,134","1,366,538","1,279,704","1,125,085","957,438",13.43,2.08,-5.48,5.03,55.97,32.42,33.29,38.58,39.67,36.63,27.34,26.65,28.4,30.96,29.12,17.24,15.92,22.4,25.66,24.07,22.34,18.71,24.05,22.42,17.77,128.96,124.81,128.97,161.13,95.61,3.79,3.84,3.56,3.42,1.93,5.13,4.57,6.39,9.2,11.56,6.01,5.4,7.61,11.24,14.79,29.27,23.02,31.89,36.32,32.73,-1.5,-1.5,-19.12,-12.26,-6.22,5.87,5.87,-10.63,-7.36,-3.75,2.49,2.49,3.75,2.61,2.78,"52,681","95,581","-169,405","-124,078","-60,188","-85,344","-24,462","-304,809","-206,763","-99,883",1.82,6.52,10.58,59.93,1.94,7.1,12.18,33.03,1.94,7.1,12.18,33.03,1.61,7.1,12.18,33.03,1.94,7.1,12.18,33.03,5.33,4.26,7.09,6.85,19.34,1.43,1.27,2.35,2.04,2.28,1.84,1.73,1.64,5.84,5.26,4.99,7.6,7.15,6.71,9.3,9.3,8.7,NA,NA,NA,8.8,6.77,10.81,7.77,7.06,40.59,"221,710,419","235,932,519","239,829,919","245,423,319","254,344,119",0.74,0.6,0.16,0.19,0.711,0.625,0.78,0.759,0.562,39.8,41.39,53.66,41.98,31.52
IRB-Brasil Resseguros S.A. (BOVESPA:IRBR3),IRBR3,Insurance,Financials,Reinsurance,"4,070.87","4,571.50","5,598,758","6,535,535","5,841,982","7,766,050","11,842,997","503,443","1,279,394","-326,060","-533,026","-495,997","485,350","1,267,924","-331,545","-582,550","-504,372",NA,"155,564",NA,"248,875","62,849","615,477","805,740","-123,853","-420,739","-682,701","27,417","18,861","20,335","17,793","38,774","15,788,614","16,446,866","15,486,432","16,436,197","22,674,441","528,080","509,971","569,254","927,328","835,142","5,207,666","4,926,059","4,257,395","4,341,465","3,634,360",-13.42,11.87,-24.78,-34.43,-0.03,8.57,19.19,-4.77,-8.08,0.2,8.99,19.58,-5.58,-6.86,-4.19,8.67,19.4,-5.68,-7.5,-4.26,10.99,12.33,-2.12,-5.42,-5.77,10.14,10.35,13.37,21.36,22.98,1.05,0.4,NM,NM,NM,1.91,4.96,-1.3,-1.86,-1.4,5.6,15.44,-4.11,-7.48,-6.49,12.57,17.55,-2.88,-10.55,-16.96,-13.69,-13.69,17.87,-53.72,16.57,-12.2,-12.2,17.87,-51.72,16.9,1.05,1.05,0.75,0.94,0.8,"-406,394","-797,349","1,043,962","-4,016,275","2,001,971","-406,394","-894,576","1,043,962","-4,171,822","1,962,690",0.82,9.08,9.42,NM,0.7,3.57,3.61,NM,0.7,3.57,3.61,NM,0.28,3.57,3.61,NM,0.7,3.57,3.61,NM,6.61,NM,NM,NM,NM,0.78,0.83,0.9,0.3,1.19,1.1,1.01,0.93,NA,NA,NA,59.98,28.39,14.59,7.7,6.3,5.7,0.8,0.8,0.7,49.74,43.35,45,26.4,120.6,67.37,"81,842,887","81,842,888","81,838,845","81,842,887","41,842,882",1.22,1.26,0.11,0.21,NA,NA,NA,NA,NA,NA,NA,NA,0,NM
ISA Energía Brasil S.A. (BOVESPA:ISAE4),ISAE4,Electric Utilities,Utilities,Electric Utilities,"18,026.32","30,856.80","8,170,735","7,966,581","6,215,521","5,450,570","5,534,129","4,201,111","4,581,256","3,483,927","3,026,644","3,956,286","4,174,899","4,546,700","3,453,239","2,979,424","3,918,669","1,094,988","877,722","577,538","981,399","314,065","3,303,294","3,552,731","2,892,362","2,319,791","3,037,808","653,574","2,914,747","245,819","336,523","282,632","43,946,662","43,304,632","35,911,156","32,243,550","28,976,739","14,112,054","13,273,804","9,268,665","8,041,697","7,416,547","21,150,707","20,071,282","17,791,712","16,536,481","14,792,735",19.96,28.17,14.03,-1.51,49.72,39.29,46.91,59.67,60.17,74.48,51.42,57.51,56.05,55.53,71.49,51.1,57.07,55.56,54.66,70.81,39.74,43.91,45.71,41.51,54.55,66.72,66.13,52.1,48.63,50.14,3.35,2.89,2.65,2.66,1.88,6.33,7.18,6.33,6.08,9.14,7.93,9.41,8.36,7.96,11.99,16.42,18.77,16.85,14.81,21.01,28.16,28.16,27.28,21.71,35.73,35.05,35.05,33.09,32.96,39.27,2.43,2.43,2.45,3.61,3.05,"1,678,127","2,792,185","2,056,481","1,796,739","2,173,405","993,759","2,243,608","1,695,520","1,183,365","1,977,115",3.78,6.41,6.47,18.39,3.87,5.95,6.01,11.05,3.87,5.95,6.01,11.05,4.27,5.95,6.01,11.05,3.87,5.95,6.01,11.05,5.06,5.35,7.6,NA,NA,0.8,0.87,1.06,1.04,1.16,6.72,6.23,5.73,8.57,7.85,7.04,11.24,10.13,9.04,11.4,11.2,9.8,1.7,1.7,1.6,24.92,23.05,26.1,22.62,24.3,42.55,"658,883,304","658,883,304","658,883,304","658,883,304","658,883,304",0.57,0.86,0.19,0.57,2.361,2.361,2.204,1.062,NA,41.14,35.42,21.04,4.32,88
Itaú Unibanco Holding S.A. (BOVESPA:ITUB4),ITUB4,Banks,Financials,Diversified Banks,"389,676.24",NA,"173,888,000","171,988,000","154,760,000","143,071,000","124,811,000","254,454,000","222,011,000","204,479,000","159,191,000","117,084,000","247,094,000","214,834,000","197,950,000","153,441,000","111,536,000","201,463,000","167,278,000","158,250,000","116,747,000","69,305,000","43,823,000","42,128,000","33,877,000","30,242,000","28,384,000","258,389,000","263,750,000","228,405,000","210,715,000","224,838,000","2,877,420,000","2,854,475,000","2,543,100,000","2,321,066,000","2,069,206,000","934,287,000","901,946,000","811,318,000","717,473,000","568,743,000","218,451,000","221,284,000","199,050,000","177,107,000","164,476,000",1.85,9.01,8.72,2.27,50.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.79,30.27,26.59,25.5,23.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57,1.56,1.39,1.38,1.39,NA,NA,NA,NA,NA,20.81,20.05,18.01,17.71,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.59,9.17,11.24,9.02,11.18,1.98,1.59,1.98,1.57,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,8.2,7.5,2.1,1.9,1.7,38.35,27.98,30.8,22.32,19.6,54.02,"10,783,970,859","10,771,950,712","10,783,167,672","10,780,953,325","10,757,875,865",1,1.11,0.52,0.71,2.39,2.39,1.994,0.776,0.579,NA,NA,NA,NA,NA
Itaúsa S.A. (BOVESPA:ITSA4),ITSA4,Banks,Financials,Diversified Banks,"122,510.83","132,322.80","8,328,000","8,235,000","7,383,000","8,486,000","8,170,000","1,847,000","1,894,000","2,202,000","2,076,000","2,603,000","638,000","737,000","1,144,000","1,262,000","1,916,000","1,464,000","1,373,000","1,569,000","1,433,000","453,000","15,661,000","14,887,000","13,978,000","14,154,000","13,291,000","5,146,000","4,852,000","5,977,000","4,472,000","3,876,000","114,124,000","114,625,000","105,348,000","96,637,000","85,981,000","12,286,000","12,337,000","11,786,000","12,654,000","9,288,000","94,052,000","94,997,000","87,050,000","76,535,000","69,508,000",8.89,11.54,-13,3.87,38.95,28.03,29.78,32.2,33.88,35.18,22.18,23,29.83,24.46,31.86,7.66,8.95,15.5,14.87,23.45,186.37,179.45,182.39,161.14,149.33,13.48,12.99,13.54,16.53,13.36,6.68,6.35,5.19,6.03,3.54,0.36,0.42,0.71,0.86,1.51,0.39,0.45,0.76,0.94,1.65,17.23,16.36,17.09,19.38,20.43,-2.18,-2.18,-42.25,6.9,17.83,8.24,8.24,-28.97,17.45,21.29,2.17,2.17,2.67,1.59,1.68,"-158,250","678,625","-2,139,000","1,480,750","1,739,500","-1,073,250","-179,500","-3,119,625","585,125","1,456,375",15.89,7.2,7.73,NM,16.07,7.64,8.22,194.99,16.07,7.64,8.22,194.99,11.55,7.64,8.22,194.99,16.07,7.64,8.22,194.99,7.88,7.04,7.72,6.67,11.37,1.37,1.15,1.45,1.23,1.4,7.99,7.17,6.58,NA,NA,NA,8.06,7.32,NA,7.3,6.7,6,1.2,1.2,NA,11.3,8.83,9.87,7.6,7.5,61.46,"10,841,666,450","10,843,252,292","10,844,567,746","10,695,814,905","10,700,050,196",1.02,1.1,0.58,0.71,0.788,0.967,0.843,0.415,0.388,12.36,21.26,NA,28.16,27.34
Jalles Machado S/A (BOVESPA:JALL3),JALL3,Food Products,Consumer Staples,Packaged Foods and Meats,835.29,"4,274.60","2,441,739","1,909,528","1,707,488","1,449,073","1,085,455","1,032,735","1,432,135","1,025,556","1,076,942","845,811","125,966","555,614","544,009","733,265","513,851","488,396","350,963","243,393","188,595","140,004","-67,535","85,118","692,329","387,907","170,449","1,504,948","1,049,863","999,121","1,242,658","1,194,100","7,445,998","6,701,940","6,160,219","4,249,872","3,461,102","4,944,248","4,016,479","3,349,084","2,157,896","1,927,950","1,989,207","2,074,758","1,937,245","1,388,729","1,135,983",30.87,11.83,17.83,33.5,22.17,14.93,38.36,32.52,52.13,55.93,42.3,75,60.06,74.32,77.92,5.16,29.1,31.86,50.6,47.34,-2.77,4.46,40.55,26.77,15.7,248.55,193.59,172.88,155.39,169.72,3.92,2.54,3.04,1.91,2.16,1.07,5.4,6.53,11.89,10.7,1.17,6.1,7.7,13.87,11.9,-3.33,4.24,41.63,30.73,19.56,11.44,9.06,-4.85,22.42,28.17,23.77,20.15,3.68,30.17,35.39,2.19,2.88,2.47,2.71,2.58,"544,089","384,702","62,813","437,109","384,083","248,208","172,972","-82,784","324,838","305,777",1.75,3.37,32.24,7.86,1.83,2.83,9.56,7.69,1.83,2.83,9.56,7.69,2.32,2.83,9.56,7.69,1.83,2.83,9.56,7.69,NM,15.91,3.34,5.54,13.67,0.42,0.66,1.19,1.55,2.53,1.92,1.88,1.64,3.13,3.14,2.63,7.18,13.9,9.22,6.5,181.5,6,0.6,0.4,0.4,2.77,4.55,7.86,7.29,9.76,32.13,"301,547,664","301,547,664","301,547,664","294,697,091","294,697,091",1.08,1.08,0.26,0.24,NA,NA,0.443,0.178,0.139,NM,109.74,7.57,10.54,9.39
JBS N.V. (NYSE:JBS),JBS,Food Products,Consumer Staples,Packaged Foods and Meats,"87,299.78","197,338.70","460,299,617","416,952,002","363,816,537","374,851,600","350,695,561","38,157,741","35,385,882","14,718,649","33,030,987","43,660,911","27,795,079","25,692,432","5,959,935","24,993,162","36,304,466","9,096,025","8,861,161","8,647,104","6,930,469","5,264,596","13,536,485","10,703,994","-729,145","16,201,254","20,529,653","13,670,463","34,761,540","22,122,405","13,182,158","23,239,150","228,122,167","251,936,042","206,132,069","208,110,628","207,250,884","121,665,640","134,927,338","110,325,628","104,409,168","103,610,602","50,388,851","50,370,426","46,998,306","49,808,931","47,796,720",21.93,14.61,-2.94,6.89,29.79,14.55,15.06,10.9,15.87,18.87,8.29,8.49,4.05,8.81,12.45,6.04,6.16,1.64,6.67,10.35,2.65,2.31,-0.29,4.12,5.84,241.45,267.87,234.74,209.62,216.77,3.02,3.6,6.62,3,2.29,7.76,7.01,1.8,7.52,12.23,10.19,9.37,2.39,10.22,16.87,26.76,21.99,-1.51,33.2,44.95,3.57,3.57,1.79,0.77,2.77,4.9,4.9,3.27,1.92,3.7,1.47,1.47,1.64,1.44,1.4,"14,286,237","20,417,891","11,902,716","7,201,138","12,989,140","8,601,222","14,879,665","6,498,276","2,869,595","9,698,768",0.44,4.99,7.23,14.12,0.55,6.11,8.91,11.22,0.55,6.11,8.91,11.22,NA,6.11,8.91,11.22,0.55,6.11,8.91,11.22,14.61,NA,NA,NA,NA,3.89,NA,NA,NA,NA,0.43,0.42,0.4,5.45,5.86,5.39,8.49,9.2,8.19,7.4,8.8,7.4,1.7,1.6,1.6,78.72,NA,NA,NA,NA,33.48,"1,109,058,185",NA,NA,NA,NA,NA,NA,NA,NA,3,5,1,2,2.001,109.89,46.14,NM,28.7,36.1
JHSF Participações S.A. (BOVESPA:JHSF3),JHSF3,Real Estate Management and Development,Real Estate,Real Estate Operating Companies,"4,325.61","8,187.10","2,102,695","1,849,138","1,770,544","2,171,866","2,286,266","1,757,746","1,297,377","976,113","970,693","1,175,742","1,689,180","1,223,763","920,857","907,735","1,113,511","396,159","317,059","263,012","253,183","161,760","1,136,585","861,545","497,865","643,700","981,219","1,585,171","1,126,004","318,126","269,036","421,743","15,473,499","13,293,747","11,078,069","10,200,431","8,411,534","6,201,440","5,027,936","3,795,930","3,319,314","2,234,870","6,413,462","5,836,514","5,222,945","5,002,429","4,546,460",16.29,0.91,-17.69,-3.56,71.5,58.86,57.11,59.13,60.03,69.44,38.3,38.88,37.42,44.22,57.18,36.81,36.08,35.27,40.97,54.95,62.89,53.14,28.4,33.18,49.99,89.62,79.93,65.07,61.2,48.7,8.08,7.26,5.58,3.58,1.91,3.05,2.98,3.3,5.33,8.79,3.86,3.79,4.21,6.69,11.24,19,15.58,9.74,13.48,23.44,-35.32,-35.32,30.65,-63.61,-12.25,-22.6,-22.6,41.38,-52.67,-6.62,1.75,1.75,2.18,4.08,2.42,"-607,154","-363,319","659,301","-1,019,649","-132,886","-867,271","-567,935","488,391","-1,231,540","-245,908",4.51,11.26,11.96,NM,5.1,12.46,13.77,NM,5.1,12.46,13.77,NM,2.73,12.46,13.77,NM,5.1,12.46,13.77,NM,3.84,5.62,6.27,3.4,5.75,0.72,0.53,0.78,0.75,1.01,3.6,3.47,3.43,8.39,8.4,8.57,11.74,10.1,NA,7.7,6.7,8.1,0.8,0.8,0.7,6.47,3.74,5.62,4.93,5.54,45.59,"668,564,304","675,992,689","677,920,515","663,950,291","681,424,353",1.34,0.48,0.35,0.08,NA,NA,0.369,0.192,0.344,NA,29.43,50.79,NA,23.75
